Category;EAN;Size;GrossProfit;SalesPrice;BoughtPrice;QuantitySold
Top;74313088;XL;261;30;21;29
Top;93980601;XL;302,4;36;25,2;28
Top;33070185;XL;341,88;74;58,46;22
Top;95925227;XL;163,2;68;54,4;12
Top;80546982;XL;135,0;75;61,5;10
Top;84604333;2XL;609,28;68;57,12;56
Top;47095460;2XL;241,8;26;18,2;31
Top;90804564;2XL;176;50;39;16
Top;66141061;2XL;180,6;43;30,1;14
Top;17768982;2XL;36,4;20;17,2;13
Top;50643309;2XL;193,14;74;52,54;9
Top;31192834;3XL;218,12;38;32,68;41
Top;16945429;3XL;218,4;30;22,2;28
Top;77847173;3XL;102,96;26;21,32;22
Top;37344788;3XL;170,94;74;65,86;21
Top;17760173;3XL;122,85;45;39,15;21
Top;53683452;3XL;223,02;59;46,61;18
Top;14762865;3XL;131,04;63;54,81;16
Top;67293227;3XL;148,5;66;56,1;15
Top;20152947;3XL;82,5;22;16,5;15
Top;14764123;3XL;75,0;50;42,5;10
Top;23223179;3XL;182,25;75;54,75;9
Top;38421456;3XL;16,8;20;15,8;4
Top;54470290;X242S;770,64;52;38,48;57
Top;34211310;X242S;344,52;33;23,43;36
Top;53699722;X242S;407,10;59;45,43;30
Top;11051532;X242S;504,0;56;39,2;30
Top;65751997;X242S;70;25;20;14
Top;86791396;X242S;173,88;69;54,51;12
Top;54707915;X242S;89,54;37;28,86;11
Top;43081565;X242S;6,56;41;34,44;1
Socks;92355026;25-30;194,88;14;9,94;48
Socks;73695022;25-30;80;8;6;40
Socks;29423508;25-30;51,15;11;9,35;31
Socks;30359050;25-30;75,6;14;11,2;27
Socks;40535324;25-30;43,2;8;6,4;27
Socks;29689273;25-30;50,96;14;12,04;26
Socks;84143988;25-30;37,44;9;7,56;26
Socks;45439551;25-30;17,00;5;4,15;20
Socks;72604356;25-30;25,20;6;4,32;15
Socks;83832739;25-30;50,40;14;10,64;15
Socks;48208751;25-30;14,3;10;8,9;13
Socks;26526512;25-30;8,47;11;9,79;7
Socks;99476360;25-30;16,66;14;11,62;7
Socks;50343411;25-30;7,00;7;5,25;4
Socks;85939103;30-36;70,3;10;8,1;37
Socks;30848175;30-36;85,8;10;7,4;33
Socks;17202106;30-36;83,16;9;6,48;33
Socks;73223648;30-36;30,60;6;4,98;30
Socks;42214269;30-36;35,91;7;5,11;19
Socks;41710348;30-36;30,6;10;8,3;18
Socks;83226571;30-36;27,54;9;7,38;17
Socks;11676792;30-36;35,28;9;6,48;14
Socks;21071582;30-36;32,76;9;6,48;13
Socks;80132719;30-36;42,9;11;7,7;13
Socks;15994553;30-36;20,02;14;12,46;13
Socks;89039994;30-36;29,9;10;7,7;13
Socks;23070304;30-36;31,32;9;6,39;12
Socks;12991599;30-36;37,18;13;9,62;11
Socks;43889246;30-36;8,1;5;4,1;9
Socks;52453043;30-36;17,55;13;11,05;9
Socks;55414087;30-36;6,72;8;7,04;7
Socks;62606390;30-36;12,54;11;8,91;6
Socks;65021000;30-36;8,4;10;8,6;6
Socks;22379658;One Size;113,4;14;11,9;54
Socks;27708443;One Size;145,86;13;10,14;51
Socks;86532013;One Size;116,38;11;8,47;46
Socks;85880266;One Size;134,16;12;8,88;43
Socks;37358727;One Size;76,44;14;12,04;39
Socks;88566138;One Size;92,40;11;7,92;30
Socks;54484900;One Size;22,33;7;6,23;29
Socks;92017888;One Size;62,4;10;7,6;26
Socks;14952238;One Size;31,25;5;3,75;25
Socks;81236120;One Size;78,00;13;9,75;24
Socks;83301427;One Size;35,88;6;4,44;23
Socks;65389352;One Size;32,40;9;7,38;20
Socks;50117798;One Size;60;12;9;20
Socks;76268236;One Size;22,8;5;3,8;19
Socks;78390862;One Size;20,9;5;3,9;19
Socks;40278562;One Size;50,4;14;11,2;18
Socks;33981122;One Size;73,08;14;9,94;18
Socks;60106565;One Size;26,01;9;7,47;17
Socks;71365318;One Size;29,12;13;10,92;14
Socks;99538917;One Size;14,82;6;4,86;13
Socks;76863621;One Size;15,84;6;4,68;12
Socks;86657963;One Size;11,76;7;6,02;12
Socks;42473824;One Size;17,16;13;11,44;11
Socks;71851674;One Size;29,40;14;11,06;10
Socks;41361032;One Size;14,58;6;4,38;9
Socks;52180121;One Size;28,08;12;8,88;9
Socks;62363367;One Size;12,76;11;7,81;4
Socks;88040299;One Size;0,00;8;5,68;0
