EAN,Sales,Size,SoldPrice,BoughtPrice,ItemGroupName
88566138,5,One Size,11,7,92,Socks
44201276,2,36D,38,31,92,Bra
93719171,0,36W/34L,69,51,75,Pants
47099526,1,2XS,41,33,21,Top
14942177,2,34W/34L,75,53,25,Pants
44499116,6,32W/32L,52,37,44,Pants
52180121,5,One Size,12,8,88,Socks
52840514,1,32BB,48,40,8,Bra
33235068,7,36W/34L,115,97,75,Pants
13531298,6,32A,62,55,18,Bra
57993964,7,36W/34L,49,37,73,Pants
62180424,3,2XS,31,21,7,Top
15994553,4,30-36,14,12,46,Socks
79408685,4,28W/30L,59,41,3,Pants
56874535,0,32W/32L,92,69,Pants
35992557,3,36W/34L,112,85,12,Pants
48437973,3,36DD,58,44,66,Bra
17009864,3,30W/32L,54,42,66,Pants
60866191,4,32BB,36,29,52,Bra
70753885,1,36DD,61,50,02,Bra
26415011,8,32C,37,27,75,Bra
53533721,1,36D,66,46,2,Bra
56874535,4,32W/32L,92,69,Pants
33235068,6,36W/34L,115,97,75,Pants
62363367,4,One Size,11,7,81,Socks
54484900,2,One Size,7,6,23,Socks
42276662,5,32C,53,46,11,Bra
29689273,7,25-30,14,12,04,Socks
76863621,6,One Size,6,4,68,Socks
48414787,1,32B,66,53,46,Bra
79779732,9,36W/34L,114,91,2,Pants
21785277,5,32A,36,25,56,Bra
48437973,2,36DD,58,44,66,Bra
53533721,4,36D,66,46,2,Bra
62100070,9,28W/30L,61,45,75,Pants
65751997,9,X242S,25,20,Top
88745694,8,36DD,56,48,72,Bra
17009864,5,30W/32L,54,42,66,Pants
30815405,7,3XS,59,43,66,Top
73180517,5,S,38,28,12,Top
33235068,5,36W/34L,115,97,75,Pants
30815405,6,3XS,59,43,66,Top
86657963,9,One Size,7,6,02,Socks
62681678,3,2XS,79,68,73,Top
38767555,1,32A,52,40,56,Bra
39964973,7,XXS,24,17,76,Top
15994553,9,30-36,14,12,46,Socks
50343411,9,25-30,7,5,25,Socks
13313567,0,32BB,59,45,43,Bra
58075606,8,32C,39,28,08,Bra
50969948,5,32W/32L,117,94,77,Pants
44499116,1,32W/32L,52,37,44,Pants
37908379,9,32W/32L,56,45,36,Pants
42214269,3,30-36,7,5,11,Socks
17009864,9,30W/32L,54,42,66,Pants
37894232,1,32W/32L,40,31,2,Pants
63564268,2,32A,64,45,44,Bra
33483439,6,28W/30L,71,53,96,Pants
90804564,7,2XL,50,39,Top
44201276,6,36D,38,31,92,Bra
45806395,5,36DD,37,32,56,Bra
80329518,6,34W/34L,98,79,38,Pants
52399792,1,36D,56,49,28,Bra
48437973,2,36DD,58,44,66,Bra
39964973,4,XXS,24,17,76,Top
45806395,5,36DD,37,32,56,Bra
28221547,9,34W/34L,68,48,96,Pants
54707915,4,X242S,37,28,86,Top
21071582,6,30-36,9,6,48,Socks
66929889,3,36DD,65,51,35,Bra
93980601,0,XL,36,25,2,Top
43290697,2,S,67,47,57,Top
12991599,2,30-36,13,9,62,Socks
84600208,9,32W/32L,108,93,96,Pants
67291215,1,32W/32L,101,89,89,Pants
59696674,6,30W/32L,107,92,02,Pants
62606390,7,30-36,11,8,91,Socks
49738211,5,S,24,17,76,Top
67163030,5,36D,41,32,8,Bra
27708443,9,One Size,13,10,14,Socks
94349729,2,36W/34L,99,77,22,Pants
82938436,3,28W/30L,113,96,05,Pants
50343411,1,25-30,7,5,25,Socks
37908379,7,32W/32L,56,45,36,Pants
60866191,5,32BB,36,29,52,Bra
53683452,3,3XL,59,46,61,Top
52399792,8,36D,56,49,28,Bra
24878415,6,34W/34L,75,58,5,Pants
17202106,0,30-36,9,6,48,Socks
20152947,0,3XL,22,16,5,Top
48914291,1,32W/32L,80,64,8,Pants
41138920,1,32B,47,38,07,Bra
60106565,9,One Size,9,7,47,Socks
24909717,8,XXS,69,55,89,Top
17629964,3,36W/34L,109,88,29,Pants
74481829,0,36D,35,28,35,Bra
85439784,8,28W/30L,94,78,02,Pants
56326945,3,32B,48,42,24,Bra
67291215,6,32W/32L,101,89,89,Pants
44201276,2,36D,38,31,92,Bra
73398529,6,2XS,34,24,48,Top
83301427,0,One Size,6,4,44,Socks
36178624,9,28W/30L,108,96,12,Pants
58841540,6,28W/30L,69,52,44,Pants
14764123,9,3XL,50,42,5,Top
17202106,1,30-36,9,6,48,Socks
48914291,7,32W/32L,80,64,8,Pants
42276662,9,32C,53,46,11,Bra
14764123,6,3XL,50,42,5,Top
26526512,3,25-30,11,9,79,Socks
99548287,4,30W/32L,60,43,2,Pants
29689273,5,25-30,14,12,04,Socks
12991599,2,30-36,13,9,62,Socks
83226571,5,30-36,9,7,38,Socks
42473824,2,One Size,13,11,44,Socks
37358727,9,One Size,14,12,04,Socks
48437973,2,36DD,58,44,66,Bra
94349729,8,36W/34L,99,77,22,Pants
40527196,9,3XS,25,22,Top
44499116,1,32W/32L,52,37,44,Pants
62629207,8,S,67,54,27,Top
39058448,4,32BB,59,50,74,Bra
75604316,3,M,47,33,84,Top
66141061,0,2XL,43,30,1,Top
30540100,7,32B,59,43,07,Bra
95925227,1,XL,68,54,4,Top
73223648,5,30-36,6,4,98,Socks
57993964,2,36W/34L,49,37,73,Pants
52180121,6,One Size,12,8,88,Socks
88566138,7,One Size,11,7,92,Socks
91831460,5,2XS,58,40,6,Top
17009864,0,30W/32L,54,42,66,Pants
36226013,5,3XS,71,57,51,Top
13318013,0,36W/34L,77,57,75,Pants
81236120,5,One Size,13,9,75,Socks
52399792,2,36D,56,49,28,Bra
94555435,3,36D,53,45,58,Bra
57993964,7,36W/34L,49,37,73,Pants
28221547,2,34W/34L,68,48,96,Pants
42840707,7,32W/32L,91,77,35,Pants
13531298,5,32A,62,55,18,Bra
33981122,7,One Size,14,9,94,Socks
50343411,3,25-30,7,5,25,Socks
76037179,9,M,68,55,08,Top
14690239,1,36DD,55,45,1,Bra
74599895,7,XXS,39,33,54,Top
60391442,2,32W/32L,99,86,13,Pants
74313088,6,XL,30,21,Top
21951911,9,M,64,44,8,Top
78390862,2,One Size,5,3,9,Socks
17372102,5,30W/32L,66,57,42,Pants
84600208,2,32W/32L,108,93,96,Pants
60391442,8,32W/32L,99,86,13,Pants
83627565,2,32C,30,25,2,Bra
48437973,7,36DD,58,44,66,Bra
14232187,0,XXS,59,51,92,Top
75560589,2,30W/32L,51,41,82,Pants
84031015,3,36DD,64,47,36,Bra
59221648,8,32B,52,40,56,Bra
88566138,4,One Size,11,7,92,Socks
93980601,4,XL,36,25,2,Top
16957637,2,30W/32L,113,91,53,Pants
90155048,6,32W/32L,103,83,43,Pants
25239101,7,32W/32L,65,45,5,Pants
73180517,6,S,38,28,12,Top
62363367,1,One Size,11,7,81,Socks
52840514,2,32BB,48,40,8,Bra
82798623,9,34W/34L,99,84,15,Pants
30398793,3,36DD,34,25,16,Bra
71365318,1,One Size,13,10,92,Socks
91831460,0,2XS,58,40,6,Top
73695022,7,25-30,8,6,Socks
56874535,7,32W/32L,92,69,Pants
42214269,1,30-36,7,5,11,Socks
17372102,6,30W/32L,66,57,42,Pants
48414787,3,32B,66,53,46,Bra
43889246,2,30-36,5,4,1,Socks
67293227,8,3XL,66,56,1,Top
85939103,9,30-36,10,8,1,Socks
83226571,8,30-36,9,7,38,Socks
26526512,6,25-30,11,9,79,Socks
29689273,9,25-30,14,12,04,Socks
64106892,7,2XS,69,53,82,Top
94449894,3,30W/32L,100,79,Pants
94845186,8,36W/34L,113,83,62,Pants
52399792,5,36D,56,49,28,Bra
84600208,1,32W/32L,108,93,96,Pants
76863621,3,One Size,6,4,68,Socks
30540100,8,32B,59,43,07,Bra
37358727,6,One Size,14,12,04,Socks
27964160,2,36W/34L,67,49,58,Pants
13313567,0,32BB,59,45,43,Bra
27708443,8,One Size,13,10,14,Socks
28221547,0,34W/34L,68,48,96,Pants
98588822,5,30W/32L,75,66,75,Pants
58841540,2,28W/30L,69,52,44,Pants
17629964,8,36W/34L,109,88,29,Pants
67163030,4,36D,41,32,8,Bra
46069959,7,36DD,32,27,2,Bra
93265523,9,32W/32L,65,57,85,Pants
73223648,2,30-36,6,4,98,Socks
76037179,4,M,68,55,08,Top
66929889,9,36DD,65,51,35,Bra
50969948,2,32W/32L,117,94,77,Pants
56874535,7,32W/32L,92,69,Pants
66929889,8,36DD,65,51,35,Bra
40278562,8,One Size,14,11,2,Socks
90804564,3,2XL,50,39,Top
67291215,0,32W/32L,101,89,89,Pants
26526512,8,25-30,11,9,79,Socks
45439551,6,25-30,5,4,15,Socks
24878415,8,34W/34L,75,58,5,Pants
70753885,4,36DD,61,50,02,Bra
33981122,2,One Size,14,9,94,Socks
79779732,0,36W/34L,114,91,2,Pants
71365318,6,One Size,13,10,92,Socks
71851674,4,One Size,14,11,06,Socks
34211310,8,X242S,33,23,43,Top
40278562,8,One Size,14,11,2,Socks
27964160,6,36W/34L,67,49,58,Pants
44499116,3,32W/32L,52,37,44,Pants
88745694,7,36DD,56,48,72,Bra
76268236,3,One Size,5,3,8,Socks
17629964,0,36W/34L,109,88,29,Pants
48414787,9,32B,66,53,46,Bra
84143988,8,25-30,9,7,56,Socks
30815405,2,3XS,59,43,66,Top
71851674,6,One Size,14,11,06,Socks
50643309,5,2XL,74,52,54,Top
74313088,8,XL,30,21,Top
42214269,4,30-36,7,5,11,Socks
41138920,1,32B,47,38,07,Bra
82091993,4,30W/32L,66,51,48,Pants
39964973,0,XXS,24,17,76,Top
43081565,9,X242S,41,34,44,Top
43081565,8,X242S,41,34,44,Top
67291215,0,32W/32L,101,89,89,Pants
86657963,0,One Size,7,6,02,Socks
54707915,4,X242S,37,28,86,Top
30848175,5,30-36,10,7,4,Socks
25239101,1,32W/32L,65,45,5,Pants
88040299,1,One Size,8,5,68,Socks
14690239,2,36DD,55,45,1,Bra
14764123,9,3XL,50,42,5,Top
30325861,5,L,22,17,38,Top
83832739,5,25-30,14,10,64,Socks
79408685,6,28W/30L,59,41,3,Pants
62086631,9,32BB,54,42,66,Bra
83627565,4,32C,30,25,2,Bra
39058448,5,32BB,59,50,74,Bra
56874535,5,32W/32L,92,69,Pants
42276662,1,32C,53,46,11,Bra
67163030,0,36D,41,32,8,Bra
76037179,0,M,68,55,08,Top
60866191,5,32BB,36,29,52,Bra
13531298,3,32A,62,55,18,Bra
77417214,6,30W/32L,80,56,Pants
52453043,5,30-36,13,11,05,Socks
88040299,6,One Size,8,5,68,Socks
46976745,8,36C,35,30,1,Bra
80132719,2,30-36,11,7,7,Socks
52180121,8,One Size,12,8,88,Socks
49738211,5,S,24,17,76,Top
14690239,3,36DD,55,45,1,Bra
38521515,3,32W/32L,70,53,2,Pants
13520008,9,34W/34L,69,55,89,Pants
50688180,5,32W/32L,98,86,24,Pants
88656694,5,S,30,24,3,Top
88040299,8,One Size,8,5,68,Socks
94555435,6,36D,53,45,58,Bra
48914291,2,32W/32L,80,64,8,Pants
92505950,8,36DD,61,46,97,Bra
77175050,1,36D,30,22,2,Bra
40535324,4,25-30,8,6,4,Socks
46976745,8,36C,35,30,1,Bra
21951911,8,M,64,44,8,Top
36226013,0,3XS,71,57,51,Top
80329518,4,34W/34L,98,79,38,Pants
48437973,5,36DD,58,44,66,Bra
66876140,3,32C,33,28,71,Bra
85880266,4,One Size,12,8,88,Socks
62629207,7,S,67,54,27,Top
62606390,8,30-36,11,8,91,Socks
74566085,9,28W/30L,68,50,32,Pants
50343411,8,25-30,7,5,25,Socks
11043900,4,36W/34L,58,44,66,Pants
58075606,1,32C,39,28,08,Bra
50643309,6,2XL,74,52,54,Top
94845186,9,36W/34L,113,83,62,Pants
30398793,5,36DD,34,25,16,Bra
26526512,4,25-30,11,9,79,Socks
54933773,9,28W/30L,73,55,48,Pants
50688180,4,32W/32L,98,86,24,Pants
21999501,3,36DD,60,42,Bra
33235068,4,36W/34L,115,97,75,Pants
75604316,9,M,47,33,84,Top
85939103,3,30-36,10,8,1,Socks
62086631,4,32BB,54,42,66,Bra
93719171,4,36W/34L,69,51,75,Pants
66876140,5,32C,33,28,71,Bra
41361032,6,One Size,6,4,38,Socks
13313567,1,32BB,59,45,43,Bra
71851674,3,One Size,14,11,06,Socks
88040299,0,One Size,8,5,68,Socks
79408685,6,28W/30L,59,41,3,Pants
92176171,4,M,67,59,63,Top
74481829,1,36D,35,28,35,Bra
23070304,7,30-36,9,6,39,Socks
39511542,1,36W/34L,107,93,09,Pants
57993964,7,36W/34L,49,37,73,Pants
62100070,2,28W/30L,61,45,75,Pants
74566085,6,28W/30L,68,50,32,Pants
83832739,7,25-30,14,10,64,Socks
33625783,1,30-36,13,10,92,Socks
83832739,7,25-30,14,10,64,Socks
94555435,4,36D,53,45,58,Bra
30325861,9,L,22,17,38,Top
99476360,6,25-30,14,11,62,Socks
72604356,6,25-30,6,4,32,Socks
58075606,5,32C,39,28,08,Bra
94449894,3,30W/32L,100,79,Pants
94845186,7,36W/34L,113,83,62,Pants
46069959,1,36DD,32,27,2,Bra
14762865,9,3XL,63,54,81,Top
69482933,6,2XS,57,48,45,Top
43290697,2,S,67,47,57,Top
33981122,8,One Size,14,9,94,Socks
71032979,7,32W/32L,50,39,5,Pants
98588822,7,30W/32L,75,66,75,Pants
48514713,9,36DD,58,41,18,Bra
61525798,8,30W/32L,81,58,32,Pants
43081565,7,X242S,41,34,44,Top
33070185,5,XL,74,58,46,Top
40278562,2,One Size,14,11,2,Socks
88745694,8,36DD,56,48,72,Bra
76610344,0,28W/30L,44,36,52,Pants
77175050,9,36D,30,22,2,Bra
40278562,4,One Size,14,11,2,Socks
22041857,0,L,67,55,61,Top
48914291,2,32W/32L,80,64,8,Pants
22373913,2,S,70,59,5,Top
40527196,0,3XS,25,22,Top
43889246,7,30-36,5,4,1,Socks
22041857,8,L,67,55,61,Top
62629207,3,S,67,54,27,Top
67163030,3,36D,41,32,8,Bra
81236120,6,One Size,13,9,75,Socks
13531298,4,32A,62,55,18,Bra
82938436,7,28W/30L,113,96,05,Pants
85880266,5,One Size,12,8,88,Socks
27964160,2,36W/34L,67,49,58,Pants
63564268,9,32A,64,45,44,Bra
88040299,9,One Size,8,5,68,Socks
58841540,1,28W/30L,69,52,44,Pants
30848175,3,30-36,10,7,4,Socks
80329518,0,34W/34L,98,79,38,Pants
36690229,6,XXS,53,37,63,Top
78390862,4,One Size,5,3,9,Socks
14764123,9,3XL,50,42,5,Top
16945429,8,3XL,30,22,2,Top
12935554,0,M,76,61,56,Top
24909717,0,XXS,69,55,89,Top
43889246,8,30-36,5,4,1,Socks
23223179,5,3XL,75,54,75,Top
11043900,8,36W/34L,58,44,66,Pants
92505950,4,36DD,61,46,97,Bra
11166778,9,M,40,30,8,Top
58075606,9,32C,39,28,08,Bra
99548287,4,30W/32L,60,43,2,Pants
43290697,5,S,67,47,57,Top
94555435,6,36D,53,45,58,Bra
31192834,1,3XL,38,32,68,Top
40078403,2,XXS,78,59,28,Top
47095460,8,2XL,26,18,2,Top
79949517,5,32B,32,24,64,Bra
14690239,4,36DD,55,45,1,Bra
11166778,1,M,40,30,8,Top
41710348,5,30-36,10,8,3,Socks
11445225,2,36DD,59,50,15,Bra
11676792,2,30-36,9,6,48,Socks
22379658,5,One Size,14,11,9,Socks
14232187,9,XXS,59,51,92,Top
74599895,4,XXS,39,33,54,Top
63564268,7,32A,64,45,44,Bra
65021000,3,30-36,10,8,6,Socks
83301427,2,One Size,6,4,44,Socks
23313150,9,3XS,24,18,96,Top
85880266,5,One Size,12,8,88,Socks
99538917,3,One Size,6,4,86,Socks
14764123,6,3XL,50,42,5,Top
99548287,7,30W/32L,60,43,2,Pants
53683452,1,3XL,59,46,61,Top
48208751,3,25-30,10,8,9,Socks
27708443,5,One Size,13,10,14,Socks
44499116,4,32W/32L,52,37,44,Pants
62180424,0,2XS,31,21,7,Top
17009864,2,30W/32L,54,42,66,Pants
52453043,4,30-36,13,11,05,Socks
76037179,2,M,68,55,08,Top
33625783,3,30-36,13,10,92,Socks
13531298,9,32A,62,55,18,Bra
70753885,4,36DD,61,50,02,Bra
23443976,1,32W/32L,53,39,75,Pants
36690229,5,XXS,53,37,63,Top
35992557,1,36W/34L,112,85,12,Pants
91831460,6,2XS,58,40,6,Top
46069959,8,36DD,32,27,2,Bra
59221648,8,32B,52,40,56,Bra
33070185,0,XL,74,58,46,Top
21951911,3,M,64,44,8,Top
50343411,2,25-30,7,5,25,Socks
54484900,3,One Size,7,6,23,Socks
48781089,2,32B,48,34,56,Bra
53297050,4,2XS,73,52,56,Top
14690239,3,36DD,55,45,1,Bra
99538917,3,One Size,6,4,86,Socks
76406634,6,36D,68,50,32,Bra
84600208,5,32W/32L,108,93,96,Pants
33070185,2,XL,74,58,46,Top
99538917,7,One Size,6,4,86,Socks
86657963,0,One Size,7,6,02,Socks
94845186,6,36W/34L,113,83,62,Pants
60391442,2,32W/32L,99,86,13,Pants
86791396,3,X242S,69,54,51,Top
73695022,8,25-30,8,6,Socks
29689273,7,25-30,14,12,04,Socks
11445225,5,36DD,59,50,15,Bra
35992557,5,36W/34L,112,85,12,Pants
23070304,5,30-36,9,6,39,Socks
23070304,9,30-36,9,6,39,Socks
33235068,2,36W/34L,115,97,75,Pants
83011317,6,30W/32L,73,57,67,Pants
62629207,0,S,67,54,27,Top
11166778,1,M,40,30,8,Top
54470290,3,X242S,52,38,48,Top
42614786,8,3XS,46,39,56,Top
92176171,1,M,67,59,63,Top
67291215,9,32W/32L,101,89,89,Pants
30325861,1,L,22,17,38,Top
83011317,8,30W/32L,73,57,67,Pants
48208751,1,25-30,10,8,9,Socks
11043900,3,36W/34L,58,44,66,Pants
56874535,9,32W/32L,92,69,Pants
37908379,0,32W/32L,56,45,36,Pants
13318013,3,36W/34L,77,57,75,Pants
74599895,2,XXS,39,33,54,Top
30359050,0,25-30,14,11,2,Socks
21999501,1,36DD,60,42,Bra
62086631,9,32BB,54,42,66,Bra
82798623,7,34W/34L,99,84,15,Pants
33070185,9,XL,74,58,46,Top
67163030,0,36D,41,32,8,Bra
16957637,6,30W/32L,113,91,53,Pants
66929889,3,36DD,65,51,35,Bra
59696674,6,30W/32L,107,92,02,Pants
12991599,6,30-36,13,9,62,Socks
52453043,7,30-36,13,11,05,Socks
73398529,6,2XS,34,24,48,Top
11445225,4,36DD,59,50,15,Bra
58131802,5,36D,38,27,74,Bra
35992557,9,36W/34L,112,85,12,Pants
50343411,1,25-30,7,5,25,Socks
65751997,5,X242S,25,20,Top
13520008,4,34W/34L,69,55,89,Pants
11676792,4,30-36,9,6,48,Socks
23223179,4,3XL,75,54,75,Top
65021000,9,30-36,10,8,6,Socks
24878415,8,34W/34L,75,58,5,Pants
94845186,3,36W/34L,113,83,62,Pants
37358727,1,One Size,14,12,04,Socks
45806395,5,36DD,37,32,56,Bra
90782199,2,32W/32L,57,44,46,Pants
85439784,6,28W/30L,94,78,02,Pants
13531298,2,32A,62,55,18,Bra
14762865,3,3XL,63,54,81,Top
80132719,3,30-36,11,7,7,Socks
73223648,7,30-36,6,4,98,Socks
88566138,8,One Size,11,7,92,Socks
17009864,7,30W/32L,54,42,66,Pants
75560589,8,30W/32L,51,41,82,Pants
48914291,3,32W/32L,80,64,8,Pants
79408685,0,28W/30L,59,41,3,Pants
57993964,8,36W/34L,49,37,73,Pants
50643309,8,2XL,74,52,54,Top
48781089,3,32B,48,34,56,Bra
47095460,2,2XL,26,18,2,Top
88745694,6,36DD,56,48,72,Bra
14690239,7,36DD,55,45,1,Bra
72358060,0,30W/32L,109,94,83,Pants
81236120,7,One Size,13,9,75,Socks
17629964,2,36W/34L,109,88,29,Pants
74481829,6,36D,35,28,35,Bra
41138920,5,32B,47,38,07,Bra
11051532,4,X242S,56,39,2,Top
98588822,9,30W/32L,75,66,75,Pants
92505950,8,36DD,61,46,97,Bra
16957637,5,30W/32L,113,91,53,Pants
38767555,4,32A,52,40,56,Bra
62363367,0,One Size,11,7,81,Socks
41361032,6,One Size,6,4,38,Socks
92017888,4,One Size,10,7,6,Socks
75560589,4,30W/32L,51,41,82,Pants
45806395,5,36DD,37,32,56,Bra
86791396,3,X242S,69,54,51,Top
76406634,4,36D,68,50,32,Bra
42276662,6,32C,53,46,11,Bra
17760173,1,3XL,45,39,15,Top
70548018,0,36W/34L,62,45,26,Pants
14942177,6,34W/34L,75,53,25,Pants
42214269,0,30-36,7,5,11,Socks
38521515,8,32W/32L,70,53,2,Pants
85939103,3,30-36,10,8,1,Socks
30815405,2,3XS,59,43,66,Top
42276662,6,32C,53,46,11,Bra
55414087,3,30-36,8,7,04,Socks
36178624,3,28W/30L,108,96,12,Pants
83301427,2,One Size,6,4,44,Socks
88040299,0,One Size,8,5,68,Socks
54484900,3,One Size,7,6,23,Socks
13531298,4,32A,62,55,18,Bra
26415011,9,32C,37,27,75,Bra
92017888,7,One Size,10,7,6,Socks
54470290,9,X242S,52,38,48,Top
43081565,0,X242S,41,34,44,Top
14762865,4,3XL,63,54,81,Top
58841540,0,28W/30L,69,52,44,Pants
48437973,2,36DD,58,44,66,Bra
25239101,6,32W/32L,65,45,5,Pants
21999501,4,36DD,60,42,Bra
29689273,1,25-30,14,12,04,Socks
88566138,6,One Size,11,7,92,Socks
79408685,8,28W/30L,59,41,3,Pants
26526512,4,25-30,11,9,79,Socks
52180121,3,One Size,12,8,88,Socks
94845186,9,36W/34L,113,83,62,Pants
62180424,5,2XS,31,21,7,Top
24909717,8,XXS,69,55,89,Top
82938436,8,28W/30L,113,96,05,Pants
42276662,5,32C,53,46,11,Bra
44201276,7,36D,38,31,92,Bra
75604316,3,M,47,33,84,Top
80132719,8,30-36,11,7,7,Socks
86532013,8,One Size,11,8,47,Socks
41710348,0,30-36,10,8,3,Socks
42473824,3,One Size,13,11,44,Socks
22872546,8,32A,36,31,68,Bra
48414787,5,32B,66,53,46,Bra
14690239,3,36DD,55,45,1,Bra
14764123,6,3XL,50,42,5,Top
62100070,2,28W/30L,61,45,75,Pants
30540100,9,32B,59,43,07,Bra
74481829,2,36D,35,28,35,Bra
25239101,0,32W/32L,65,45,5,Pants
30398793,1,36DD,34,25,16,Bra
60106565,6,One Size,9,7,47,Socks
60106565,3,One Size,9,7,47,Socks
76037179,0,M,68,55,08,Top
39511542,5,36W/34L,107,93,09,Pants
99548287,8,30W/32L,60,43,2,Pants
14942177,9,34W/34L,75,53,25,Pants
82938436,6,28W/30L,113,96,05,Pants
39964973,0,XXS,24,17,76,Top
75604316,6,M,47,33,84,Top
77417214,6,30W/32L,80,56,Pants
25239101,7,32W/32L,65,45,5,Pants
38421456,2,3XL,20,15,8,Top
75560589,0,30W/32L,51,41,82,Pants
50643309,4,2XL,74,52,54,Top
15994553,5,30-36,14,12,46,Socks
17768982,8,2XL,20,17,2,Top
84031015,7,36DD,64,47,36,Bra
23313150,6,3XS,24,18,96,Top
92154358,6,34W/34L,106,92,22,Pants
76037179,5,M,68,55,08,Top
11166778,6,M,40,30,8,Top
12935554,3,M,76,61,56,Top
14942177,1,34W/34L,75,53,25,Pants
25239101,3,32W/32L,65,45,5,Pants
94845186,7,36W/34L,113,83,62,Pants
85880266,2,One Size,12,8,88,Socks
43081565,8,X242S,41,34,44,Top
