EAN,Sales,Size,SoldPrice,BoughtPrice,ItemGroupName
40851080,8,2XL,70,52,5,Top
80884426,1,X242S,63,50,4,Top
91286214,2,32C,66,56,1,Bra
72218713,4,30-36,7,5,11,Socks
99915579,2,32A,50,35,Bra
77225620,1,34W/34L,61,50,63,Pants
82362131,7,S,53,41,34,Top
42457151,2,32BB,34,25,16,Bra
38964440,6,30-36,12,9,6,Socks
16494546,1,One Size,8,6,32,Socks
14795153,8,34W/34L,118,90,86,Pants
28561435,0,32C,43,36,98,Bra
79088311,6,28W/30L,83,62,25,Pants
52075918,2,L,70,55,3,Top
83369023,2,32C,34,25,5,Bra
63111381,4,30-36,13,9,1,Socks
72090082,0,34W/34L,83,72,21,Pants
55594734,8,30-36,6,4,8,Socks
39278940,2,25-30,8,6,4,Socks
18769637,4,30-36,7,5,18,Socks
81516679,5,32W/32L,114,93,48,Pants
19289054,1,2XL,44,30,8,Top
57231733,4,30W/32L,94,78,02,Pants
82362131,4,S,53,41,34,Top
99915579,7,32A,50,35,Bra
78274474,3,36C,66,52,8,Bra
37673727,4,XXS,41,35,26,Top
51750707,8,28W/30L,42,31,08,Pants
37673727,1,XXS,41,35,26,Top
93419668,8,25-30,10,7,3,Socks
99228146,8,36D,46,34,04,Bra
10417089,6,36D,54,38,34,Bra
12736724,5,32W/32L,99,73,26,Pants
71197640,5,XXS,31,26,97,Top
79088311,5,28W/30L,83,62,25,Pants
18768360,3,32W/32L,72,56,16,Pants
93671126,4,XL,33,23,76,Top
32505627,6,32BB,38,33,44,Bra
83369023,0,32C,34,25,5,Bra
61096541,1,30W/32L,76,55,48,Pants
89482398,0,30-36,6,4,74,Socks
53194871,9,30W/32L,112,86,24,Pants
42457151,0,32BB,34,25,16,Bra
32505627,2,32BB,38,33,44,Bra
78878958,7,32W/32L,51,36,72,Pants
22688038,5,25-30,8,7,04,Socks
98205796,0,25-30,6,4,26,Socks
96006630,3,30W/32L,89,71,2,Pants
65844922,2,36DD,40,29,6,Bra
90331544,4,32W/32L,99,88,11,Pants
78274474,2,36C,66,52,8,Bra
97556113,8,XL,28,21,28,Top
78220526,0,30W/32L,77,59,29,Pants
72218713,2,30-36,7,5,11,Socks
98853164,5,32BB,40,32,Bra
78189379,5,28W/30L,92,77,28,Pants
19501403,3,S,25,20,25,Top
60015955,9,28W/30L,51,36,72,Pants
68663069,6,30-36,5,4,05,Socks
53065072,5,32W/32L,117,97,11,Pants
80884426,6,X242S,63,50,4,Top
33736161,5,2XL,32,27,2,Top
50152870,8,36D,66,51,48,Bra
50479122,3,25-30,7,5,11,Socks
74032841,9,30-36,5,3,85,Socks
55536618,4,36DD,62,44,64,Bra
32737776,5,X242S,26,22,62,Top
31480398,4,28W/30L,91,63,7,Pants
30660956,4,2XL,52,45,24,Top
58257039,1,36DD,31,23,25,Bra
19779354,9,X242S,70,51,1,Top
15928860,8,25-30,14,10,5,Socks
74835445,1,32B,33,27,06,Bra
70104738,5,30-36,12,9,24,Socks
32737776,2,X242S,26,22,62,Top
31480398,0,28W/30L,91,63,7,Pants
19779354,4,X242S,70,51,1,Top
93419668,5,25-30,10,7,3,Socks
30057452,5,One Size,13,9,49,Socks
91165885,2,S,64,44,8,Top
27891564,2,XL,29,22,33,Top
42205716,6,2XL,31,23,25,Top
89482398,2,30-36,6,4,74,Socks
22529951,5,36W/34L,81,72,09,Pants
15928860,3,25-30,14,10,5,Socks
98205796,8,25-30,6,4,26,Socks
62171578,4,XXS,71,55,38,Top
38019573,9,2XL,43,30,53,Top
10417089,9,36D,54,38,34,Bra
40897212,7,34W/34L,63,54,81,Pants
13302559,2,2XS,65,48,1,Top
79422752,0,X242S,74,59,94,Top
41030113,4,36DD,64,47,36,Bra
42457151,6,32BB,34,25,16,Bra
40851080,5,2XL,70,52,5,Top
63861141,9,25-30,5,4,2,Socks
89663991,3,30-36,5,3,7,Socks
31669966,8,2XL,41,36,08,Top
86701656,4,28W/30L,108,77,76,Pants
78878958,1,32W/32L,51,36,72,Pants
32505627,1,32BB,38,33,44,Bra
19009398,6,2XS,50,41,Top
77070174,7,32B,35,25,9,Bra
78189379,6,28W/30L,92,77,28,Pants
24857959,2,36D,67,54,27,Bra
74032841,5,30-36,5,3,85,Socks
99886661,0,L,63,45,99,Top
22688038,2,25-30,8,7,04,Socks
13714185,6,30-36,8,6,32,Socks
50152870,7,36D,66,51,48,Bra
24857959,9,36D,67,54,27,Bra
55995953,5,3XL,68,57,8,Top
99915579,1,32A,50,35,Bra
68663069,3,30-36,5,4,05,Socks
34645425,2,25-30,14,10,36,Socks
31669966,6,2XL,41,36,08,Top
21064376,4,32A,34,28,56,Bra
79088311,7,28W/30L,83,62,25,Pants
55081920,4,32C,41,34,85,Bra
99915579,7,32A,50,35,Bra
57743035,5,25-30,9,7,02,Socks
44844856,0,M,55,47,3,Top
42205716,6,2XL,31,23,25,Top
12824695,4,32W/32L,111,81,03,Pants
59986370,8,L,46,33,58,Top
65751040,5,32C,30,22,8,Bra
89091287,0,30-36,9,6,84,Socks
18194004,1,3XL,52,38,48,Top
63111381,7,30-36,13,9,1,Socks
60015955,2,28W/30L,51,36,72,Pants
30205013,7,30W/32L,72,60,48,Pants
13302559,3,2XS,65,48,1,Top
55536618,1,36DD,62,44,64,Bra
13302559,8,2XS,65,48,1,Top
25822800,9,2XL,73,62,05,Top
47109521,9,XXS,49,35,77,Top
37673727,8,XXS,41,35,26,Top
49874414,5,28W/30L,96,76,8,Pants
79422752,1,X242S,74,59,94,Top
19662552,0,30W/32L,53,47,17,Pants
82618717,8,28W/30L,42,31,92,Pants
94412167,8,30W/32L,78,69,42,Pants
96825175,0,30W/32L,52,37,96,Pants
46689828,9,25-30,12,9,84,Socks
38019573,4,2XL,43,30,53,Top
79088311,9,28W/30L,83,62,25,Pants
63861141,2,25-30,5,4,2,Socks
89482398,4,30-36,6,4,74,Socks
66642205,2,S,64,46,72,Top
78576090,1,32A,33,27,72,Bra
99915579,7,32A,50,35,Bra
99228146,6,36D,46,34,04,Bra
94884243,3,One Size,7,5,25,Socks
13714185,4,30-36,8,6,32,Socks
97534688,3,34W/34L,102,74,46,Pants
51399878,9,30W/32L,71,54,67,Pants
97838150,5,One Size,12,9,24,Socks
17252051,8,32A,34,28,9,Bra
11884539,9,L,55,39,05,Top
57231733,8,30W/32L,94,78,02,Pants
55097345,9,S,34,26,18,Top
46017504,2,2XS,22,17,6,Top
19662552,6,30W/32L,53,47,17,Pants
65861215,8,32C,38,26,6,Bra
65751040,8,32C,30,22,8,Bra
11884539,4,L,55,39,05,Top
27200498,5,3XL,33,27,39,Top
18277392,4,30-36,10,7,6,Socks
80884426,0,X242S,63,50,4,Top
74048980,1,34W/34L,82,69,7,Pants
74032841,6,30-36,5,3,85,Socks
77354484,0,2XS,35,30,1,Top
74048980,2,34W/34L,82,69,7,Pants
68663069,9,30-36,5,4,05,Socks
64244630,6,36C,53,47,17,Bra
78878958,0,32W/32L,51,36,72,Pants
62257242,5,One Size,5,3,85,Socks
37530582,0,36W/34L,72,60,48,Pants
78274474,5,36C,66,52,8,Bra
63861141,7,25-30,5,4,2,Socks
74835445,7,32B,33,27,06,Bra
33736161,1,2XL,32,27,2,Top
40851080,8,2XL,70,52,5,Top
21781579,2,32C,45,37,8,Bra
60996521,4,25-30,5,4,4,Socks
41085795,5,36W/34L,82,65,6,Pants
52012304,3,30-36,6,5,16,Socks
71197640,9,XXS,31,26,97,Top
34154636,5,L,70,50,4,Top
46689828,5,25-30,12,9,84,Socks
55010642,2,3XS,37,27,01,Top
82998540,6,One Size,9,6,93,Socks
30057452,4,One Size,13,9,49,Socks
80884426,3,X242S,63,50,4,Top
85314026,8,30-36,13,10,01,Socks
44844856,7,M,55,47,3,Top
93603411,7,32W/32L,63,45,36,Pants
96006630,4,30W/32L,89,71,2,Pants
62171578,0,XXS,71,55,38,Top
97838150,8,One Size,12,9,24,Socks
89663991,2,30-36,5,3,7,Socks
97838150,2,One Size,12,9,24,Socks
45151546,1,30W/32L,47,34,31,Pants
45104131,3,3XL,51,44,37,Top
89663991,3,30-36,5,3,7,Socks
55536618,4,36DD,62,44,64,Bra
12736724,1,32W/32L,99,73,26,Pants
46689828,2,25-30,12,9,84,Socks
42205716,8,2XL,31,23,25,Top
28624594,4,30W/32L,68,55,08,Pants
97556113,5,XL,28,21,28,Top
71216187,1,One Size,5,4,35,Socks
55594734,9,30-36,6,4,8,Socks
82998540,3,One Size,9,6,93,Socks
35837318,2,2XL,66,48,84,Top
38964440,8,30-36,12,9,6,Socks
76141706,6,36C,55,38,5,Bra
81759114,3,36D,51,37,23,Bra
94884243,9,One Size,7,5,25,Socks
74530492,3,32A,61,48,19,Bra
15928860,9,25-30,14,10,5,Socks
30624476,7,32W/32L,112,85,12,Pants
15896685,2,30W/32L,67,56,95,Pants
82998540,4,One Size,9,6,93,Socks
63861141,1,25-30,5,4,2,Socks
13302559,7,2XS,65,48,1,Top
45017288,3,32C,57,42,75,Bra
59986370,4,L,46,33,58,Top
18768360,0,32W/32L,72,56,16,Pants
35292967,1,36W/34L,68,47,6,Pants
84833522,5,32B,46,40,48,Bra
11276472,3,36W/34L,72,59,04,Pants
49540995,3,30-36,7,5,11,Socks
86947402,3,36C,55,41,25,Bra
56166145,5,30-36,9,6,57,Socks
55536618,9,36DD,62,44,64,Bra
33195864,3,25-30,6,5,22,Socks
76141706,9,36C,55,38,5,Bra
33195864,2,25-30,6,5,22,Socks
21064376,4,32A,34,28,56,Bra
31480398,0,28W/30L,91,63,7,Pants
29831491,2,32A,49,35,28,Bra
31639049,6,L,45,34,65,Top
47676789,3,36W/34L,104,91,52,Pants
57231733,2,30W/32L,94,78,02,Pants
58257039,8,36DD,31,23,25,Bra
31480398,7,28W/30L,91,63,7,Pants
42205716,5,2XL,31,23,25,Top
69651883,3,36D,64,50,56,Bra
49540995,0,30-36,7,5,11,Socks
41940983,0,36D,40,33,6,Bra
18270156,4,One Size,5,4,Socks
94634614,7,25-30,12,8,4,Socks
91286214,1,32C,66,56,1,Bra
29859355,4,One Size,10,8,3,Socks
33195864,0,25-30,6,5,22,Socks
79088311,5,28W/30L,83,62,25,Pants
19289054,4,2XL,44,30,8,Top
63296547,9,One Size,8,7,04,Socks
91286214,3,32C,66,56,1,Bra
95675765,9,L,31,26,35,Top
70829785,3,30W/32L,90,75,6,Pants
37609437,9,2XS,37,26,64,Top
30487620,1,32C,60,43,2,Bra
24857959,8,36D,67,54,27,Bra
96006630,8,30W/32L,89,71,2,Pants
84833522,6,32B,46,40,48,Bra
99915579,3,32A,50,35,Bra
94550707,9,S,60,42,Top
93498300,8,30-36,5,3,5,Socks
50479122,2,25-30,7,5,11,Socks
30262545,5,32W/32L,76,61,56,Pants
99915579,8,32A,50,35,Bra
19883231,9,3XS,73,52,56,Top
16231089,9,36C,43,33,11,Bra
60996521,9,25-30,5,4,4,Socks
83369023,5,32C,34,25,5,Bra
60997676,1,36W/34L,86,68,8,Pants
83369023,1,32C,34,25,5,Bra
77225620,3,34W/34L,61,50,63,Pants
56166145,6,30-36,9,6,57,Socks
27200498,5,3XL,33,27,39,Top
59729655,6,25-30,10,8,2,Socks
53194871,6,30W/32L,112,86,24,Pants
55995953,4,3XL,68,57,8,Top
94634614,0,25-30,12,8,4,Socks
52075918,4,L,70,55,3,Top
74835445,9,32B,33,27,06,Bra
94884243,8,One Size,7,5,25,Socks
99221141,1,36DD,57,45,03,Bra
37609437,2,2XS,37,26,64,Top
55594734,4,30-36,6,4,8,Socks
31078666,8,34W/34L,94,69,56,Pants
79088311,4,28W/30L,83,62,25,Pants
96064687,8,32C,32,28,48,Bra
37757066,8,L,56,47,04,Top
52012304,8,30-36,6,5,16,Socks
31480398,5,28W/30L,91,63,7,Pants
68421223,6,32W/32L,83,70,55,Pants
41134767,4,32W/32L,118,97,94,Pants
99221141,9,36DD,57,45,03,Bra
15053519,2,3XL,34,26,86,Top
46154894,4,M,69,58,65,Top
60744968,9,2XL,68,51,68,Top
82618717,0,28W/30L,42,31,92,Pants
21781579,3,32C,45,37,8,Bra
18194004,0,3XL,52,38,48,Top
66642205,3,S,64,46,72,Top
93498300,7,30-36,5,3,5,Socks
81759114,4,36D,51,37,23,Bra
94884243,5,One Size,7,5,25,Socks
41614050,4,34W/34L,70,51,1,Pants
70549584,9,XL,79,56,09,Top
17332663,0,25-30,14,11,2,Socks
50915857,5,32A,57,49,02,Bra
21781579,9,32C,45,37,8,Bra
34645425,4,25-30,14,10,36,Socks
15053519,2,3XL,34,26,86,Top
99221141,3,36DD,57,45,03,Bra
77354484,7,2XS,35,30,1,Top
99221141,9,36DD,57,45,03,Bra
68421223,1,32W/32L,83,70,55,Pants
55097345,7,S,34,26,18,Top
79088311,7,28W/30L,83,62,25,Pants
28576327,0,3XL,78,63,18,Top
32728389,1,28W/30L,55,42,9,Pants
70289842,1,32W/32L,89,71,2,Pants
30195926,2,32B,31,23,87,Bra
70549584,2,XL,79,56,09,Top
10594075,6,30W/32L,41,29,11,Pants
46017504,4,2XS,22,17,6,Top
25822800,9,2XL,73,62,05,Top
89482398,7,30-36,6,4,74,Socks
62238080,6,S,38,27,36,Top
28624594,6,30W/32L,68,55,08,Pants
30057452,3,One Size,13,9,49,Socks
31078666,4,34W/34L,94,69,56,Pants
60997676,9,36W/34L,86,68,8,Pants
80896265,6,28W/30L,44,37,84,Pants
42205716,5,2XL,31,23,25,Top
46495873,6,M,78,64,74,Top
27917118,4,36DD,48,39,84,Bra
99915579,1,32A,50,35,Bra
98853164,1,32BB,40,32,Bra
98853164,2,32BB,40,32,Bra
70367927,0,25-30,7,5,53,Socks
65861215,6,32C,38,26,6,Bra
96006630,7,30W/32L,89,71,2,Pants
22529951,0,36W/34L,81,72,09,Pants
90331544,9,32W/32L,99,88,11,Pants
31639049,5,L,45,34,65,Top
86701656,2,28W/30L,108,77,76,Pants
70367927,3,25-30,7,5,53,Socks
63861141,8,25-30,5,4,2,Socks
82362131,5,S,53,41,34,Top
46154894,6,M,69,58,65,Top
45448705,5,32W/32L,85,70,55,Pants
94412167,8,30W/32L,78,69,42,Pants
78274474,3,36C,66,52,8,Bra
56930409,5,32A,37,31,82,Bra
78393615,2,25-30,7,5,88,Socks
61497837,5,25-30,9,7,74,Socks
99886661,5,L,63,45,99,Top
25434681,6,32B,41,35,26,Bra
27891564,1,XL,29,22,33,Top
41085795,8,36W/34L,82,65,6,Pants
41134767,8,32W/32L,118,97,94,Pants
15896685,0,30W/32L,67,56,95,Pants
57852105,8,30W/32L,99,80,19,Pants
18277392,5,30-36,10,7,6,Socks
52183299,7,32A,32,26,88,Bra
64244630,9,36C,53,47,17,Bra
22688038,8,25-30,8,7,04,Socks
62238080,2,S,38,27,36,Top
41134767,6,32W/32L,118,97,94,Pants
28576327,9,3XL,78,63,18,Top
11377782,4,30W/32L,78,55,38,Pants
19883231,1,3XS,73,52,56,Top
81516679,7,32W/32L,114,93,48,Pants
13714185,0,30-36,8,6,32,Socks
55081920,5,32C,41,34,85,Bra
30624476,5,32W/32L,112,85,12,Pants
38019573,7,2XL,43,30,53,Top
38964440,1,30-36,12,9,6,Socks
15928860,9,25-30,14,10,5,Socks
78924629,8,36C,35,30,1,Bra
27891564,5,XL,29,22,33,Top
62563778,5,36DD,50,44,5,Bra
94550707,4,S,60,42,Top
31669966,9,2XL,41,36,08,Top
22529951,6,36W/34L,81,72,09,Pants
30057452,2,One Size,13,9,49,Socks
25434681,6,32B,41,35,26,Bra
51750707,4,28W/30L,42,31,08,Pants
73489300,2,30-36,9,7,56,Socks
49540995,6,30-36,7,5,11,Socks
74835445,2,32B,33,27,06,Bra
78189379,7,28W/30L,92,77,28,Pants
28561435,1,32C,43,36,98,Bra
31639049,2,L,45,34,65,Top
30487620,4,32C,60,43,2,Bra
74032841,4,30-36,5,3,85,Socks
55536618,6,36DD,62,44,64,Bra
83420789,4,25-30,7,6,09,Socks
94550707,1,S,60,42,Top
50152870,7,36D,66,51,48,Bra
74048980,0,34W/34L,82,69,7,Pants
15896685,3,30W/32L,67,56,95,Pants
41940983,8,36D,40,33,6,Bra
89663991,7,30-36,5,3,7,Socks
18358469,8,25-30,12,8,88,Socks
35292967,4,36W/34L,68,47,6,Pants
72090082,8,34W/34L,83,72,21,Pants
59729655,7,25-30,10,8,2,Socks
94884243,0,One Size,7,5,25,Socks
19779354,5,X242S,70,51,1,Top
62238080,2,S,38,27,36,Top
52075918,1,L,70,55,3,Top
41940983,5,36D,40,33,6,Bra
55536618,2,36DD,62,44,64,Bra
67955878,9,2XS,70,58,1,Top
94906647,3,32C,33,23,1,Bra
93943429,2,30-36,14,9,8,Socks
33736161,2,2XL,32,27,2,Top
84598951,4,30-36,11,7,92,Socks
61156168,5,30W/32L,67,48,91,Pants
41614050,0,34W/34L,70,51,1,Pants
25434681,8,32B,41,35,26,Bra
46495873,3,M,78,64,74,Top
17252051,5,32A,34,28,9,Bra
41085795,9,36W/34L,82,65,6,Pants
33195864,4,25-30,6,5,22,Socks
86701656,1,28W/30L,108,77,76,Pants
55995953,4,3XL,68,57,8,Top
32737776,1,X242S,26,22,62,Top
25434681,6,32B,41,35,26,Bra
26074186,9,28W/30L,87,66,12,Pants
99915579,4,32A,50,35,Bra
26074186,7,28W/30L,87,66,12,Pants
40170965,2,36C,35,29,75,Bra
62238080,5,S,38,27,36,Top
18803757,6,28W/30L,90,69,3,Pants
52012304,8,30-36,6,5,16,Socks
19779354,1,X242S,70,51,1,Top
74032841,2,30-36,5,3,85,Socks
21781579,4,32C,45,37,8,Bra
61096541,4,30W/32L,76,55,48,Pants
76486556,5,36C,49,39,69,Bra
24857959,7,36D,67,54,27,Bra
74048980,3,34W/34L,82,69,7,Pants
82618717,6,28W/30L,42,31,92,Pants
85314026,9,30-36,13,10,01,Socks
17941206,5,25-30,6,4,56,Socks
39278940,4,25-30,8,6,4,Socks
31669966,8,2XL,41,36,08,Top
19779354,7,X242S,70,51,1,Top
52012304,0,30-36,6,5,16,Socks
68421223,2,32W/32L,83,70,55,Pants
22688038,9,25-30,8,7,04,Socks
46154894,1,M,69,58,65,Top
65861215,2,32C,38,26,6,Bra
37757066,4,L,56,47,04,Top
18768360,6,32W/32L,72,56,16,Pants
68663069,4,30-36,5,4,05,Socks
26074186,6,28W/30L,87,66,12,Pants
15523097,7,32B,32,27,2,Bra
78220526,1,30W/32L,77,59,29,Pants
82078990,6,XL,20,17,4,Top
35931417,4,25-30,10,8,3,Socks
37673727,4,XXS,41,35,26,Top
65751040,1,32C,30,22,8,Bra
74048980,3,34W/34L,82,69,7,Pants
61156168,2,30W/32L,67,48,91,Pants
38019573,8,2XL,43,30,53,Top
28561435,0,32C,43,36,98,Bra
18768360,3,32W/32L,72,56,16,Pants
28561435,7,32C,43,36,98,Bra
22529951,5,36W/34L,81,72,09,Pants
74048980,6,34W/34L,82,69,7,Pants
80896265,0,28W/30L,44,37,84,Pants
79422752,8,X242S,74,59,94,Top
89091287,4,30-36,9,6,84,Socks
81759114,3,36D,51,37,23,Bra
30057452,1,One Size,13,9,49,Socks
86701656,6,28W/30L,108,77,76,Pants
89663991,4,30-36,5,3,7,Socks
25822800,1,2XL,73,62,05,Top
82078990,7,XL,20,17,4,Top
68932616,4,36W/34L,88,77,44,Pants
38019573,4,2XL,43,30,53,Top
46017504,6,2XS,22,17,6,Top
34645425,2,25-30,14,10,36,Socks
78924629,7,36C,35,30,1,Bra
83369023,7,32C,34,25,5,Bra
94634614,4,25-30,12,8,4,Socks
19883231,2,3XS,73,52,56,Top
41030113,4,36DD,64,47,36,Bra
94550707,4,S,60,42,Top
12824695,9,32W/32L,111,81,03,Pants
37530582,2,36W/34L,72,60,48,Pants
30624476,5,32W/32L,112,85,12,Pants
86701656,4,28W/30L,108,77,76,Pants
66642205,9,S,64,46,72,Top
41134767,5,32W/32L,118,97,94,Pants
63861141,2,25-30,5,4,2,Socks
11276472,1,36W/34L,72,59,04,Pants
61156168,7,30W/32L,67,48,91,Pants
97556113,0,XL,28,21,28,Top
37530582,8,36W/34L,72,60,48,Pants
19779354,4,X242S,70,51,1,Top
44844856,9,M,55,47,3,Top
30195926,4,32B,31,23,87,Bra
46495873,3,M,78,64,74,Top
31480398,2,28W/30L,91,63,7,Pants
62257242,0,One Size,5,3,85,Socks
33736161,7,2XL,32,27,2,Top
34154636,6,L,70,50,4,Top
27200498,0,3XL,33,27,39,Top
51399878,2,30W/32L,71,54,67,Pants
84833522,0,32B,46,40,48,Bra
21064376,3,32A,34,28,56,Bra
78576090,4,32A,33,27,72,Bra
35292967,2,36W/34L,68,47,6,Pants
11377782,6,30W/32L,78,55,38,Pants
28561435,3,32C,43,36,98,Bra
55081920,6,32C,41,34,85,Bra
32505627,0,32BB,38,33,44,Bra
79287314,4,XL,39,32,37,Top
17252051,9,32A,34,28,9,Bra
94550707,1,S,60,42,Top
70367927,7,25-30,7,5,53,Socks
77365514,1,One Size,9,6,57,Socks
60997676,3,36W/34L,86,68,8,Pants
61497837,3,25-30,9,7,74,Socks
46294096,5,XL,46,37,72,Top
44419170,5,25-30,6,5,28,Socks
78189379,2,28W/30L,92,77,28,Pants
96882371,0,36D,58,48,14,Bra
96064687,8,32C,32,28,48,Bra
67955878,6,2XS,70,58,1,Top
61156168,6,30W/32L,67,48,91,Pants
57231733,1,30W/32L,94,78,02,Pants
90331544,3,32W/32L,99,88,11,Pants
18358469,0,25-30,12,8,88,Socks
78878958,5,32W/32L,51,36,72,Pants
89051843,4,32A,59,46,02,Bra
40271090,7,32W/32L,46,36,8,Pants
60744968,6,2XL,68,51,68,Top
86947402,1,36C,55,41,25,Bra
59729655,2,25-30,10,8,2,Socks
89051843,0,32A,59,46,02,Bra
70829785,7,30W/32L,90,75,6,Pants
63861141,2,25-30,5,4,2,Socks
41085795,5,36W/34L,82,65,6,Pants
68932616,0,36W/34L,88,77,44,Pants
77070174,6,32B,35,25,9,Bra
95675765,5,L,31,26,35,Top
57231733,5,30W/32L,94,78,02,Pants
89091287,9,30-36,9,6,84,Socks
51399878,1,30W/32L,71,54,67,Pants
47676789,0,36W/34L,104,91,52,Pants
29831491,2,32A,49,35,28,Bra
61497837,6,25-30,9,7,74,Socks
29728258,8,32B,58,47,56,Bra
96825175,7,30W/32L,52,37,96,Pants
18768360,0,32W/32L,72,56,16,Pants
74048980,4,34W/34L,82,69,7,Pants
93604666,2,3XL,68,55,08,Top
47676789,8,36W/34L,104,91,52,Pants
12736724,3,32W/32L,99,73,26,Pants
18769637,2,30-36,7,5,18,Socks
91972539,7,36C,49,39,69,Bra
94634614,3,25-30,12,8,4,Socks
61156168,2,30W/32L,67,48,91,Pants
82078990,9,XL,20,17,4,Top
30624476,9,32W/32L,112,85,12,Pants
49563928,6,36D,69,57,27,Bra
91286214,7,32C,66,56,1,Bra
93943429,6,30-36,14,9,8,Socks
79278946,4,X242S,42,30,66,Top
31639049,6,L,45,34,65,Top
81759114,3,36D,51,37,23,Bra
62171578,1,XXS,71,55,38,Top
24857959,2,36D,67,54,27,Bra
96064687,7,32C,32,28,48,Bra
14795153,1,34W/34L,118,90,86,Pants
76486556,2,36C,49,39,69,Bra
70549584,2,XL,79,56,09,Top
63861141,0,25-30,5,4,2,Socks
41614050,0,34W/34L,70,51,1,Pants
45448705,2,32W/32L,85,70,55,Pants
83369023,0,32C,34,25,5,Bra
82743561,6,30-36,11,8,25,Socks
63861141,4,25-30,5,4,2,Socks
49563928,4,36D,69,57,27,Bra
99915579,2,32A,50,35,Bra
78576090,5,32A,33,27,72,Bra
58257039,9,36DD,31,23,25,Bra
