EAN;Sales;Size;SoldPrice;BoughtPrice;ItemGroupName
50377032;6;30-36;14;10,22;Socks
50059842;0;L;40;34,4;Top
56372134;3;One Size;14;11,76;Socks
58384059;4;2XL;42;33,6;Top
42279958;3;X242S;66;50,82;Top
78863209;6;XL;57;44,46;Top
98559854;1;34W/34L;43;30,1;Pants
61441530;4;30W/32L;57;46,17;Pants
85696766;1;One Size;14;10,78;Socks
15012921;5;M;43;32,68;Top
51215839;1;28W/30L;84;69,72;Pants
90513139;6;One Size;7;4,97;Socks
17177948;5;One Size;7;5,46;Socks
51676376;0;XL;79;63,2;Top
12069170;2;32B;30;26,7;Bra
27350720;7;28W/30L;114;95,76;Pants
20238725;4;One Size;10;8,6;Socks
97481108;5;30-36;14;12,32;Socks
26626034;0;32BB;59;41,3;Bra
98559854;9;34W/34L;43;30,1;Pants
24732771;2;34W/34L;70;49;Pants
46949359;5;28W/30L;109;97,01;Pants
78462985;8;32A;51;44,37;Bra
93130180;1;28W/30L;82;64,78;Pants
96402420;5;36C;35;30,45;Bra
56838610;2;32BB;48;40,8;Bra
91640641;2;32B;30;21,6;Bra
60532016;7;25-30;12;10,2;Socks
64915803;2;32W/32L;90;64,8;Pants
12547035;2;One Size;11;9,24;Socks
32276576;4;36DD;62;51,46;Bra
73990844;7;XL;30;25,5;Top
36050933;4;3XS;62;55,18;Top
20466176;9;28W/30L;49;36,75;Pants
78462985;5;32A;51;44,37;Bra
77942251;8;32C;60;51,6;Bra
34942106;4;One Size;12;8,4;Socks
68415794;7;M;43;33,11;Top
35060855;7;36C;67;59,63;Bra
20238725;6;One Size;10;8,6;Socks
81776879;8;36W/34L;76;62,32;Pants
92352394;7;34W/34L;115;101,2;Pants
81150503;6;One Size;7;5,46;Socks
23181573;1;XXS;70;58,8;Top
78645291;2;25-30;7;6,23;Socks
34676123;6;36DD;53;38,69;Bra
17078879;2;32BB;40;30,8;Bra
70300639;3;S;36;32,04;Top
35679700;4;28W/30L;72;61,92;Pants
76218121;2;30W/32L;92;77,28;Pants
36050933;2;3XS;62;55,18;Top
61793969;5;32B;30;21,6;Bra
92504514;8;3XS;25;21;Top
15012921;1;M;43;32,68;Top
80276130;5;25-30;7;5,88;Socks
39785001;9;S;27;19,98;Top
62718079;3;2XL;27;18,9;Top
68689815;0;36DD;46;35,42;Bra
89984241;4;30-36;5;3,6;Socks
28526060;9;3XS;48;36,48;Top
22322658;8;XL;42;30,24;Top
70300639;6;S;36;32,04;Top
54685749;2;S;27;20,52;Top
48088795;4;36W/34L;76;56,24;Pants
46744803;6;L;73;58,4;Top
12737152;9;32W/32L;59;49,56;Pants
56372134;7;One Size;14;11,76;Socks
16747010;2;36W/34L;83;73,04;Pants
70334086;1;25-30;11;9,02;Socks
47634677;3;36C;67;50,25;Bra
98077344;5;32C;38;26,6;Bra
73118782;9;L;23;17,48;Top
32968856;5;One Size;5;4,2;Socks
73542148;8;32C;55;40,7;Bra
81298723;6;30-36;10;8;Socks
75592916;7;L;74;53,28;Top
28980942;9;25-30;11;9,79;Socks
38151521;5;30-36;9;6,84;Socks
76521211;0;25-30;10;8,8;Socks
89654012;1;2XS;39;28,86;Top
27350720;7;28W/30L;114;95,76;Pants
11397733;9;32W/32L;80;64,8;Pants
17078879;5;32BB;40;30,8;Bra
97303969;4;36D;50;35,5;Bra
85953123;4;32W/32L;73;61,32;Pants
59866400;4;25-30;9;6,75;Socks
91640641;5;32B;30;21,6;Bra
47135045;5;M;50;42;Top
56838610;2;32BB;48;40,8;Bra
50377032;5;30-36;14;10,22;Socks
40487639;5;3XS;45;31,5;Top
82550627;6;3XS;60;49,2;Top
28980942;0;25-30;11;9,79;Socks
83007387;0;M;25;18,5;Top
12547035;4;One Size;11;9,24;Socks
34942106;3;One Size;12;8,4;Socks
84878161;2;32W/32L;75;55,5;Pants
37533089;7;32W/32L;56;48,72;Pants
88120533;3;36C;41;35,26;Bra
31604717;2;30W/32L;110;82,5;Pants
13836303;9;32C;31;23,56;Bra
35679700;2;28W/30L;72;61,92;Pants
35060855;4;36C;67;59,63;Bra
81150503;8;One Size;7;5,46;Socks
56372134;3;One Size;14;11,76;Socks
31258423;7;25-30;8;6,8;Socks
24732771;0;34W/34L;70;49;Pants
68689815;2;36DD;46;35,42;Bra
35626922;1;3XL;67;55,61;Top
42907883;0;30-36;11;9,46;Socks
13065190;2;36C;59;51,33;Bra
81885713;6;32W/32L;64;53,76;Pants
84878161;1;32W/32L;75;55,5;Pants
16264541;1;36D;36;27,72;Bra
86877334;9;32A;67;47,57;Bra
60729314;1;32C;33;23,1;Bra
50762015;7;One Size;11;9,57;Socks
89654012;0;2XS;39;28,86;Top
34942106;9;One Size;12;8,4;Socks
39142757;1;XL;36;30,96;Top
98077344;9;32C;38;26,6;Bra
38151521;1;30-36;9;6,84;Socks
74344301;0;30W/32L;110;93,5;Pants
55941502;5;3XS;25;20,5;Top
12980669;5;XL;30;26,4;Top
40310545;1;3XS;61;48,19;Top
20466176;3;28W/30L;49;36,75;Pants
70334086;9;25-30;11;9,02;Socks
59866400;1;25-30;9;6,75;Socks
43821110;3;3XL;66;48,84;Top
73990844;4;XL;30;25,5;Top
78462985;1;32A;51;44,37;Bra
87344664;1;25-30;12;8,76;Socks
59866400;3;25-30;9;6,75;Socks
71970927;9;30-36;9;6,48;Socks
72960305;8;30-36;6;5,1;Socks
76722897;0;34W/34L;83;59,76;Pants
52236776;8;25-30;13;9,23;Socks
59866400;1;25-30;9;6,75;Socks
74293195;7;32A;43;34,4;Bra
23181573;9;XXS;70;58,8;Top
76521211;9;25-30;10;8,8;Socks
67913743;2;25-30;7;5,46;Socks
64915803;5;32W/32L;90;64,8;Pants
15942311;2;32W/32L;43;30,53;Pants
39597304;9;XXS;66;47,52;Top
92352394;1;34W/34L;115;101,2;Pants
42907883;9;30-36;11;9,46;Socks
67063788;3;25-30;8;7,12;Socks
46949359;8;28W/30L;109;97,01;Pants
60729314;8;32C;33;23,1;Bra
39639736;9;36DD;46;39,56;Bra
71864404;4;XL;45;37,35;Top
76218121;5;30W/32L;92;77,28;Pants
91640641;6;32B;30;21,6;Bra
91767274;9;30W/32L;46;35,88;Pants
24843544;5;2XS;46;35,42;Top
17946634;2;25-30;12;9,6;Socks
36050933;7;3XS;62;55,18;Top
40642664;4;30-36;14;12,18;Socks
81423380;1;32W/32L;53;44,52;Pants
20580459;6;One Size;5;3,8;Socks
88725642;8;25-30;8;6,4;Socks
36050933;6;3XS;62;55,18;Top
20580459;2;One Size;5;3,8;Socks
39396776;5;36C;69;53,13;Bra
71106464;0;36D;52;37,96;Bra
56010158;8;32BB;63;51,66;Bra
22322658;5;XL;42;30,24;Top
37440646;0;36D;44;30,8;Bra
71323271;8;25-30;12;10,56;Socks
98859786;0;32C;55;39,05;Bra
38151521;7;30-36;9;6,84;Socks
68744567;9;30-36;9;6,66;Socks
27488467;1;36W/34L;44;32,12;Pants
68689815;3;36DD;46;35,42;Bra
60729314;7;32C;33;23,1;Bra
83542926;2;One Size;11;9,35;Socks
87344664;4;25-30;12;8,76;Socks
28640111;8;36DD;31;27,28;Bra
47135045;6;M;50;42;Top
29251150;2;30W/32L;56;48,72;Pants
50059842;4;L;40;34,4;Top
62933597;3;30-36;9;6,75;Socks
43821110;8;3XL;66;48,84;Top
13065190;3;36C;59;51,33;Bra
48623840;9;32A;41;31,16;Bra
28673434;2;XL;52;44,72;Top
37533089;4;32W/32L;56;48,72;Pants
30948315;3;3XL;66;52,8;Top
98859786;6;32C;55;39,05;Bra
74001466;1;32A;58;48,72;Bra
26172349;4;One Size;8;6,32;Socks
29251150;6;30W/32L;56;48,72;Pants
62718079;3;2XL;27;18,9;Top
47634677;2;36C;67;50,25;Bra
24843544;5;2XS;46;35,42;Top
71323271;0;25-30;12;10,56;Socks
55941502;5;3XS;25;20,5;Top
76218121;7;30W/32L;92;77,28;Pants
16747010;9;36W/34L;83;73,04;Pants
55941502;1;3XS;25;20,5;Top
67020416;8;34W/34L;51;36,21;Pants
68508677;0;36D;44;31,24;Bra
39142757;3;XL;36;30,96;Top
80427556;8;36W/34L;59;50,15;Pants
83981664;2;S;59;44,84;Top
35626922;5;3XL;67;55,61;Top
36027784;2;28W/30L;108;93,96;Pants
24445779;5;M;55;45,65;Top
98646419;7;32W/32L;94;78,96;Pants
51676376;2;XL;79;63,2;Top
13065190;3;36C;59;51,33;Bra
92917892;5;25-30;6;4,8;Socks
67020416;9;34W/34L;51;36,21;Pants
94337852;7;36DD;48;35,52;Bra
89984241;9;30-36;5;3,6;Socks
89674512;0;M;70;51,1;Top
16747010;9;36W/34L;83;73,04;Pants
94620210;2;XL;21;15,33;Top
21562777;9;L;47;39,01;Top
43825232;1;32A;42;35,28;Bra
97584311;8;36D;55;43,45;Bra
58744201;6;32C;45;34,2;Bra
15012921;8;M;43;32,68;Top
35626922;7;3XL;67;55,61;Top
68744567;1;30-36;9;6,66;Socks
20466176;3;28W/30L;49;36,75;Pants
21269595;7;36DD;49;34,79;Bra
13721035;3;M;29;23,2;Top
64915803;7;32W/32L;90;64,8;Pants
71323271;4;25-30;12;10,56;Socks
51215839;6;28W/30L;84;69,72;Pants
39775115;1;25-30;14;10,36;Socks
34942106;6;One Size;12;8,4;Socks
85696766;4;One Size;14;10,78;Socks
85899027;5;36D;38;26,6;Bra
75303460;0;36W/34L;67;51,59;Pants
26626034;3;32BB;59;41,3;Bra
28673434;0;XL;52;44,72;Top
74866303;3;L;42;36,54;Top
81150503;6;One Size;7;5,46;Socks
71462253;4;34W/34L;41;30,34;Pants
71462253;9;34W/34L;41;30,34;Pants
50377032;8;30-36;14;10,22;Socks
26172349;4;One Size;8;6,32;Socks
52091023;9;30-36;6;4,86;Socks
36027784;0;28W/30L;108;93,96;Pants
94458957;0;28W/30L;96;83,52;Pants
20580459;8;One Size;5;3,8;Socks
87748663;1;One Size;10;7,2;Socks
19397574;1;30W/32L;119;102,34;Pants
71970927;1;30-36;9;6,48;Socks
81298723;9;30-36;10;8;Socks
71864404;5;XL;45;37,35;Top
30661550;6;32A;64;53,12;Bra
28640111;3;36DD;31;27,28;Bra
41168008;4;25-30;10;7,8;Socks
39775115;9;25-30;14;10,36;Socks
90513139;9;One Size;7;4,97;Socks
41988075;0;2XL;63;54,81;Top
41168008;4;25-30;10;7,8;Socks
20082328;7;25-30;13;10,01;Socks
52091023;9;30-36;6;4,86;Socks
41910364;6;25-30;6;4,98;Socks
75303460;1;36W/34L;67;51,59;Pants
78863209;3;XL;57;44,46;Top
68415794;3;M;43;33,11;Top
67913743;3;25-30;7;5,46;Socks
24144114;9;30-36;7;4,9;Socks
75592916;4;L;74;53,28;Top
97102674;0;36W/34L;95;67,45;Pants
89542156;2;3XS;32;25,28;Top
81423380;7;32W/32L;53;44,52;Pants
12737152;5;32W/32L;59;49,56;Pants
73118782;1;L;23;17,48;Top
46402712;6;34W/34L;84;71,4;Pants
51215839;5;28W/30L;84;69,72;Pants
40310545;4;3XS;61;48,19;Top
62718079;4;2XL;27;18,9;Top
22537589;5;L;43;33,11;Top
90513139;5;One Size;7;4,97;Socks
30948315;5;3XL;66;52,8;Top
73542148;4;32C;55;40,7;Bra
39785001;5;S;27;19,98;Top
75303460;8;36W/34L;67;51,59;Pants
51215839;8;28W/30L;84;69,72;Pants
77942251;7;32C;60;51,6;Bra
47135045;4;M;50;42;Top
12663222;5;32A;44;31,24;Bra
93713532;0;2XS;22;19,14;Top
64915803;2;32W/32L;90;64,8;Pants
82550627;2;3XS;60;49,2;Top
74293195;2;32A;43;34,4;Bra
23181573;5;XXS;70;58,8;Top
26172349;3;One Size;8;6,32;Socks
17177948;3;One Size;7;5,46;Socks
48623840;0;32A;41;31,16;Bra
50059842;2;L;40;34,4;Top
30661550;7;32A;64;53,12;Bra
65102804;3;X242S;72;59,76;Top
13786223;6;32A;69;61,41;Bra
13786223;7;32A;69;61,41;Bra
47135045;9;M;50;42;Top
36424756;2;32BB;61;45,75;Bra
93130180;0;28W/30L;82;64,78;Pants
74001466;9;32A;58;48,72;Bra
21269595;6;36DD;49;34,79;Bra
12547035;0;One Size;11;9,24;Socks
69702672;0;25-30;8;5,76;Socks
93130180;3;28W/30L;82;64,78;Pants
17130140;0;36W/34L;67;57,62;Pants
80427556;9;36W/34L;59;50,15;Pants
14772304;8;36C;50;38,5;Bra
24732771;3;34W/34L;70;49;Pants
89542156;5;3XS;32;25,28;Top
26172349;5;One Size;8;6,32;Socks
10510156;5;30W/32L;56;40,32;Pants
36792183;0;2XL;52;37,44;Top
83007387;3;M;25;18,5;Top
39043552;9;25-30;13;11,57;Socks
71323271;7;25-30;12;10,56;Socks
78645291;6;25-30;7;6,23;Socks
19397574;8;30W/32L;119;102,34;Pants
50377032;6;30-36;14;10,22;Socks
67063788;4;25-30;8;7,12;Socks
90013098;1;3XS;50;39,5;Top
58189628;5;3XS;33;27,72;Top
93217748;5;25-30;11;8,03;Socks
88120533;0;36C;41;35,26;Bra
83542926;5;One Size;11;9,35;Socks
30661550;7;32A;64;53,12;Bra
20028381;8;XL;43;35,69;Top
38151521;9;30-36;9;6,84;Socks
19397574;0;30W/32L;119;102,34;Pants
13836303;8;32C;31;23,56;Bra
47935744;3;One Size;5;4,05;Socks
74866303;5;L;42;36,54;Top
28419371;0;S;26;18,46;Top
55941502;4;3XS;25;20,5;Top
95071811;3;30W/32L;102;80,58;Pants
61441530;1;30W/32L;57;46,17;Pants
87344664;1;25-30;12;8,76;Socks
62933597;5;30-36;9;6,75;Socks
71462253;4;34W/34L;41;30,34;Pants
97481108;2;30-36;14;12,32;Socks
71970927;6;30-36;9;6,48;Socks
97102674;9;36W/34L;95;67,45;Pants
37963165;7;L;75;64,5;Top
12363151;9;3XS;29;22,62;Top
71045618;3;36W/34L;49;39,2;Pants
24144114;2;30-36;7;4,9;Socks
12153824;1;25-30;6;5,04;Socks
60729314;3;32C;33;23,1;Bra
13836303;6;32C;31;23,56;Bra
36424756;6;32BB;61;45,75;Bra
74001466;9;32A;58;48,72;Bra
24843544;4;2XS;46;35,42;Top
12663222;2;32A;44;31,24;Bra
47935744;0;One Size;5;4,05;Socks
71574686;8;30-36;14;10,78;Socks
27488467;2;36W/34L;44;32,12;Pants
62933597;8;30-36;9;6,75;Socks
21269595;4;36DD;49;34,79;Bra
59634869;2;32BB;61;48,19;Bra
68689815;4;36DD;46;35,42;Bra
13836303;6;32C;31;23,56;Bra
58189628;9;3XS;33;27,72;Top
28673434;6;XL;52;44,72;Top
36027784;6;28W/30L;108;93,96;Pants
39775115;8;25-30;14;10,36;Socks
72960305;3;30-36;6;5,1;Socks
27350720;5;28W/30L;114;95,76;Pants
39597304;5;XXS;66;47,52;Top
17177948;1;One Size;7;5,46;Socks
71655109;8;30W/32L;104;88,4;Pants
51676376;2;XL;79;63,2;Top
45759707;9;M;57;40,47;Top
58744201;0;32C;45;34,2;Bra
29312850;9;25-30;10;8,6;Socks
59393895;1;36D;49;43,12;Bra
47135045;2;M;50;42;Top
46949359;0;28W/30L;109;97,01;Pants
39597304;7;XXS;66;47,52;Top
68415794;2;M;43;33,11;Top
68508677;6;36D;44;31,24;Bra
97481108;2;30-36;14;12,32;Socks
39043552;8;25-30;13;11,57;Socks
75592479;5;3XS;63;49,14;Top
14772304;9;36C;50;38,5;Bra
92917892;4;25-30;6;4,8;Socks
17946634;5;25-30;12;9,6;Socks
55941502;0;3XS;25;20,5;Top
74344301;9;30W/32L;110;93,5;Pants
82945602;5;30W/32L;65;50,05;Pants
74866303;6;L;42;36,54;Top
89542156;8;3XS;32;25,28;Top
40642664;0;30-36;14;12,18;Socks
94620210;1;XL;21;15,33;Top
48088795;6;36W/34L;76;56,24;Pants
89674512;8;M;70;51,1;Top
81423380;9;32W/32L;53;44,52;Pants
71323271;6;25-30;12;10,56;Socks
17078879;8;32BB;40;30,8;Bra
35060855;7;36C;67;59,63;Bra
26172349;3;One Size;8;6,32;Socks
32233049;2;28W/30L;107;94,16;Pants
70334086;6;25-30;11;9,02;Socks
93271958;8;M;79;65,57;Top
17946634;1;25-30;12;9,6;Socks
12069170;2;32B;30;26,7;Bra
85696766;1;One Size;14;10,78;Socks
16747010;5;36W/34L;83;73,04;Pants
92504514;0;3XS;25;21;Top
12363151;8;3XS;29;22,62;Top
97303969;2;36D;50;35,5;Bra
45497420;6;32B;30;22,8;Bra
68744567;2;30-36;9;6,66;Socks
17946634;2;25-30;12;9,6;Socks
20466176;8;28W/30L;49;36,75;Pants
24445779;1;M;55;45,65;Top
41168008;6;25-30;10;7,8;Socks
24843544;2;2XS;46;35,42;Top
81885713;2;32W/32L;64;53,76;Pants
50762015;2;One Size;11;9,57;Socks
74866303;5;L;42;36,54;Top
13786223;4;32A;69;61,41;Bra
58744201;1;32C;45;34,2;Bra
85696766;0;One Size;14;10,78;Socks
24843544;9;2XS;46;35,42;Top
80848611;0;34W/34L;108;75,6;Pants
51215839;4;28W/30L;84;69,72;Pants
21562777;7;L;47;39,01;Top
67785212;3;30-36;10;7,3;Socks
75157219;6;36DD;44;36,08;Bra
60729314;2;32C;33;23,1;Bra
84878161;0;32W/32L;75;55,5;Pants
47135045;8;M;50;42;Top
83007387;1;M;25;18,5;Top
93130180;8;28W/30L;82;64,78;Pants
59393895;0;36D;49;43,12;Bra
77942251;5;32C;60;51,6;Bra
83387129;1;25-30;5;3,65;Socks
48167369;3;32BB;48;42,72;Bra
98646419;4;32W/32L;94;78,96;Pants
20238725;8;One Size;10;8,6;Socks
83007387;4;M;25;18,5;Top
20466176;4;28W/30L;49;36,75;Pants
67525239;4;30W/32L;62;45,26;Pants
45759707;7;M;57;40,47;Top
96402420;2;36C;35;30,45;Bra
36050933;1;3XS;62;55,18;Top
51215839;3;28W/30L;84;69,72;Pants
62244011;2;32W/32L;109;95,92;Pants
10510156;8;30W/32L;56;40,32;Pants
24843544;2;2XS;46;35,42;Top
20238725;6;One Size;10;8,6;Socks
36424756;7;32BB;61;45,75;Bra
12663222;2;32A;44;31,24;Bra
45497420;0;32B;30;22,8;Bra
40310545;0;3XS;61;48,19;Top
92504514;6;3XS;25;21;Top
20466176;5;28W/30L;49;36,75;Pants
39639736;0;36DD;46;39,56;Bra
45759707;4;M;57;40,47;Top
76218121;0;30W/32L;92;77,28;Pants
51306272;8;XL;53;37,1;Top
88725642;3;25-30;8;6,4;Socks
30948315;4;3XL;66;52,8;Top
98559854;5;34W/34L;43;30,1;Pants
71045618;6;36W/34L;49;39,2;Pants
13065190;8;36C;59;51,33;Bra
58384059;1;2XL;42;33,6;Top
88313115;7;L;32;26,24;Top
12547035;0;One Size;11;9,24;Socks
74001466;6;32A;58;48,72;Bra
68508677;2;36D;44;31,24;Bra
12980669;2;XL;30;26,4;Top
74001466;8;32A;58;48,72;Bra
71106464;3;36D;52;37,96;Bra
21277357;0;25-30;9;7,2;Socks
93130180;5;28W/30L;82;64,78;Pants
39396776;6;36C;69;53,13;Bra
24732771;3;34W/34L;70;49;Pants
46949359;1;28W/30L;109;97,01;Pants
15012921;6;M;43;32,68;Top
46744803;9;L;73;58,4;Top
16928132;4;28W/30L;118;102,66;Pants
12737152;9;32W/32L;59;49,56;Pants
48623840;9;32A;41;31,16;Bra
93713532;5;2XS;22;19,14;Top
88725642;5;25-30;8;6,4;Socks
15101849;0;32BB;58;44,08;Bra
98077344;4;32C;38;26,6;Bra
77942251;0;32C;60;51,6;Bra
51675931;5;32C;64;51,2;Bra
67020416;5;34W/34L;51;36,21;Pants
30661550;0;32A;64;53,12;Bra
64715185;3;32C;31;23,25;Bra
97102674;8;36W/34L;95;67,45;Pants
54685749;3;S;27;20,52;Top
23181573;2;XXS;70;58,8;Top
71045618;8;36W/34L;49;39,2;Pants
70300639;3;S;36;32,04;Top
38949408;9;28W/30L;65;55,9;Pants
61441530;6;30W/32L;57;46,17;Pants
67216159;4;25-30;12;10,68;Socks
71864404;1;XL;45;37,35;Top
51676376;3;XL;79;63,2;Top
58189628;9;3XS;33;27,72;Top
51306272;0;XL;53;37,1;Top
24455418;1;X242S;23;16,79;Top
88547337;8;32A;37;27,01;Bra
92504514;2;3XS;25;21;Top
39639736;2;36DD;46;39,56;Bra
48088795;8;36W/34L;76;56,24;Pants
76722897;2;34W/34L;83;59,76;Pants
32276576;7;36DD;62;51,46;Bra
61793969;2;32B;30;21,6;Bra
88725642;1;25-30;8;6,4;Socks
97481108;9;30-36;14;12,32;Socks
39396776;2;36C;69;53,13;Bra
69702672;5;25-30;8;5,76;Socks
41168008;5;25-30;10;7,8;Socks
47135045;9;M;50;42;Top
62718079;1;2XL;27;18,9;Top
16747010;7;36W/34L;83;73,04;Pants
62734188;5;One Size;8;5,6;Socks
15101849;3;32BB;58;44,08;Bra
72960305;7;30-36;6;5,1;Socks
35626922;1;3XL;67;55,61;Top
21269595;3;36DD;49;34,79;Bra
71106464;6;36D;52;37,96;Bra
51306272;8;XL;53;37,1;Top
51676376;9;XL;79;63,2;Top
77942251;8;32C;60;51,6;Bra
54685749;8;S;27;20,52;Top
24732771;8;34W/34L;70;49;Pants
97584311;4;36D;55;43,45;Bra
94337852;8;36DD;48;35,52;Bra
39639736;3;36DD;46;39,56;Bra
24843544;4;2XS;46;35,42;Top
40310545;7;3XS;61;48,19;Top
37440646;6;36D;44;30,8;Bra
28640111;2;36DD;31;27,28;Bra
49461268;4;25-30;10;7,5;Socks
89984241;7;30-36;5;3,6;Socks
32233049;4;28W/30L;107;94,16;Pants
16747010;6;36W/34L;83;73,04;Pants
93217748;4;25-30;11;8,03;Socks
59866400;7;25-30;9;6,75;Socks
74866303;4;L;42;36,54;Top
52091023;1;30-36;6;4,86;Socks
48623840;8;32A;41;31,16;Bra
19397574;4;30W/32L;119;102,34;Pants
76521211;6;25-30;10;8,8;Socks
75157219;3;36DD;44;36,08;Bra
71462253;7;34W/34L;41;30,34;Pants
77942251;6;32C;60;51,6;Bra
60532016;6;25-30;12;10,2;Socks
47135045;3;M;50;42;Top
88725642;9;25-30;8;6,4;Socks
12663222;1;32A;44;31,24;Bra
67020416;4;34W/34L;51;36,21;Pants
50059842;6;L;40;34,4;Top
21562777;7;L;47;39,01;Top
27488467;1;36W/34L;44;32,12;Pants
88120533;9;36C;41;35,26;Bra
64715185;8;32C;31;23,25;Bra
37440646;6;36D;44;30,8;Bra
91640641;2;32B;30;21,6;Bra
24144114;4;30-36;7;4,9;Socks
15942311;9;32W/32L;43;30,53;Pants
30948315;0;3XL;66;52,8;Top
71533673;6;L;50;43,5;Top
55941502;4;3XS;25;20,5;Top
62734188;3;One Size;8;5,6;Socks
17177948;3;One Size;7;5,46;Socks
22537589;1;L;43;33,11;Top
86588000;8;One Size;7;6,02;Socks
23181573;6;XXS;70;58,8;Top
71106464;3;36D;52;37,96;Bra
41910364;8;25-30;6;4,98;Socks
12980669;1;XL;30;26,4;Top
12980669;2;XL;30;26,4;Top
98646419;5;32W/32L;94;78,96;Pants
14149936;1;32W/32L;98;72,52;Pants
21562777;7;L;47;39,01;Top
74866303;5;L;42;36,54;Top
30661550;8;32A;64;53,12;Bra
97481108;6;30-36;14;12,32;Socks
83387129;4;25-30;5;3,65;Socks
40487639;7;3XS;45;31,5;Top
38949408;4;28W/30L;65;55,9;Pants
47634677;8;36C;67;50,25;Bra
74866303;9;L;42;36,54;Top
37533089;3;32W/32L;56;48,72;Pants
88725642;6;25-30;8;6,4;Socks
40792150;7;36C;37;32,56;Bra
34942106;4;One Size;12;8,4;Socks
67525239;8;30W/32L;62;45,26;Pants
56010158;2;32BB;63;51,66;Bra
34942106;0;One Size;12;8,4;Socks
88313115;9;L;32;26,24;Top
21269595;4;36DD;49;34,79;Bra
27350720;9;28W/30L;114;95,76;Pants
13786223;9;32A;69;61,41;Bra
86524661;2;34W/34L;81;58,32;Pants
98646419;4;32W/32L;94;78,96;Pants
16928132;9;28W/30L;118;102,66;Pants
80427556;3;36W/34L;59;50,15;Pants
77942251;9;32C;60;51,6;Bra
56010158;3;32BB;63;51,66;Bra
74344301;7;30W/32L;110;93,5;Pants
12737152;4;32W/32L;59;49,56;Pants
